scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Vexilla,AV,page26,26,bar153,153,3+2+2,8,120,4,450,292050,500,292550,921,2,923,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,921
Vexilla,AV,page26,26,bar154,154,3+2+2,8,120,4,451,292550,750,293300,923,3,926,69,117,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,923
Vexilla,AV,page26,26,bar154,154,3+2+2,8,120,4,452,293300,500,293800,926,2,928,117,149,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,926
Vexilla,AV,page26,26,bar154,154,3+2+2,8,120,4,453,293800,500,294300,928,2,930,149,186,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,928
Vexilla,AV,page26,26,bar155,155,2,4,120,4,454,294300,500,294800,930,2,932,186,218,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,930
Vexilla,AV,page26,26,bar155,155,2,4,120,4,455,294800,500,295300,932,2,934,218,255,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,932
Vexilla,AV,page26,26,bar156,156,3,4,120,4,456,295300,500,295800,934,2,936,255,287,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,934
Vexilla,AV,page26,26,bar156,156,3,4,120,4,457,295800,500,296300,936,2,938,287,319,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,936
Vexilla,AV,page26,26,bar156,156,3,4,120,4,458,296300,500,296800,938,2,940,319,356,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,938
Vexilla,AV,page26,26,bar157,157,4,4,120,4,459,296800,500,297300,940,2,942,356,388,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,940
Vexilla,AV,page26,26,bar157,157,4,4,120,4,460,297300,500,297800,942,2,944,388,420,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,942
Vexilla,AV,page26,26,bar157,157,4,4,120,4,461,297800,500,298300,944,2,946,420,452,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,944
Vexilla,AV,page26,26,bar157,157,4,4,120,4,462,298300,500,298800,946,2,948,452,489,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,946
Vexilla,AV,page26,26,bar158,158,3+2+2,8,120,4,463,298800,750,299550,948,3,951,489,537,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,948
Vexilla,AV,page26,26,bar158,158,3+2+2,8,120,4,464,299550,500,300050,951,2,953,537,569,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,951
Vexilla,AV,page26,26,bar158,158,3+2+2,8,120,4,465,300050,500,300550,953,2,955,569,606,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,953
Vexilla,AV,page26,26,bar159,159,2,4,120,4,466,300550,500,301050,955,2,957,606,638,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,955
Vexilla,AV,page26,26,bar159,159,2,4,120,4,467,301050,500,301550,957,2,959,638,670,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_AV_page26,957
Vexilla,AV,page26,26,bar154,154,3+2+2,8,120,4,451,292550,750,293300,923,3,926,69,117,100,100,0,transition:1750|40|255|0|/ITL/scene/flagDecorator,923
Vexilla,AV,page26,26,bar154,154,3+2+2,8,120,4,451,292550,750,293300,923,3,926,69,117,100,100,0,javascript:setFile(’/ITL/scene/flagDecorator’|'rsrc/BihTriangle.svg'),923
Vexilla,AV,page26,26,bar159,159,2,4,120,4,466,300550,500,301050,955,2,957,606,638,100,100,0,transition:1000|40|255|0|/ITL/scene/flagDecorator,955
Vexilla,AV,page26,26,bar159,159,2,4,120,4,466,300550,500,301050,955,2,957,606,638,100,100,0,javascript:setFile(’/ITL/scene/flagDecorator’|'rsrc/BihTriangle.svg'),955
