( [32, 69[ [100, 100[ ) ( [261/8, 263/8[ )
( [69, 101[ [100, 100[ ) ( [263/8, 265/8[ )
( [101, 138[ [100, 100[ ) ( [265/8, 267/8[ )
( [138, 170[ [100, 100[ ) ( [267/8, 269/8[ )
( [170, 207[ [100, 100[ ) ( [269/8, 271/8[ )
( [207, 239[ [100, 100[ ) ( [271/8, 273/8[ )
( [239, 276[ [100, 100[ ) ( [273/8, 275/8[ )
( [276, 308[ [100, 100[ ) ( [275/8, 277/8[ )
( [308, 345[ [100, 100[ ) ( [277/8, 279/8[ )
( [345, 377[ [100, 100[ ) ( [279/8, 281/8[ )
( [377, 414[ [100, 100[ ) ( [281/8, 283/8[ )
( [414, 446[ [100, 100[ ) ( [283/8, 285/8[ )
( [446, 483[ [100, 100[ ) ( [285/8, 287/8[ )
( [483, 515[ [100, 100[ ) ( [287/8, 289/8[ )
( [515, 552[ [100, 100[ ) ( [289/8, 291/8[ )
( [552, 584[ [100, 100[ ) ( [291/8, 293/8[ )
( [584, 621[ [100, 100[ ) ( [293/8, 295/8[ )
( [621, 653[ [100, 100[ ) ( [295/8, 297/8[ )
( [653, 685[ [100, 100[ ) ( [297/8, 299/8[ )
