scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Vexilla,FullScore,page1,1,bar0,0,3,4,90,4,0,0,667,667,1,2,3,31,68,100,100,1,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,1
Vexilla,FullScore,page1,1,bar1,1,3,4,90,4,1,667,667,1334,3,2,5,68,100,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,3
Vexilla,FullScore,page1,1,bar1,1,3,4,90,4,2,1334,667,2001,5,2,7,100,132,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,5
Vexilla,FullScore,page1,1,bar1,1,3,4,90,4,3,2001,667,2668,7,2,9,132,169,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,7
Vexilla,FullScore,page1,1,bar2,2,3,4,90,4,4,2668,667,3335,9,2,11,169,201,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,9
Vexilla,FullScore,page1,1,bar2,2,3,4,90,4,5,3335,667,4002,11,2,13,201,233,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,11
Vexilla,FullScore,page1,1,bar2,2,3,4,90,4,6,4002,667,4669,13,2,15,233,270,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,13
Vexilla,FullScore,page1,1,bar3,3,3,4,90,4,7,4669,667,5336,15,2,17,270,302,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,15
Vexilla,FullScore,page1,1,bar3,3,3,4,90,4,8,5336,667,6003,17,2,19,302,334,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,17
Vexilla,FullScore,page1,1,bar3,3,3,4,90,4,9,6003,667,6670,19,2,21,334,371,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,19
Vexilla,FullScore,page1,1,bar4,4,3,4,90,4,10,6670,667,7337,21,2,23,371,403,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,21
Vexilla,FullScore,page1,1,bar4,4,3,4,90,4,11,7337,667,8004,23,2,25,403,435,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_FullScore_page1,23
