( [32, 69[ [100, 100[ ) ( [476/8, 478/8[ )
( [69, 101[ [100, 100[ ) ( [478/8, 480/8[ )
( [101, 138[ [100, 100[ ) ( [480/8, 482/8[ )
( [138, 170[ [100, 100[ ) ( [482/8, 484/8[ )
( [170, 207[ [100, 100[ ) ( [484/8, 486/8[ )
( [207, 239[ [100, 100[ ) ( [486/8, 488/8[ )
( [239, 276[ [100, 100[ ) ( [488/8, 490/8[ )
( [276, 308[ [100, 100[ ) ( [490/8, 492/8[ )
( [308, 345[ [100, 100[ ) ( [492/8, 494/8[ )
( [345, 377[ [100, 100[ ) ( [494/8, 496/8[ )
( [377, 414[ [100, 100[ ) ( [496/8, 498/8[ )
( [414, 446[ [100, 100[ ) ( [498/8, 500/8[ )
( [446, 483[ [100, 100[ ) ( [500/8, 502/8[ )
( [483, 515[ [100, 100[ ) ( [502/8, 504/8[ )
( [515, 552[ [100, 100[ ) ( [504/8, 506/8[ )
( [552, 584[ [100, 100[ ) ( [506/8, 508/8[ )
( [584, 621[ [100, 100[ ) ( [508/8, 510/8[ )
( [621, 653[ [100, 100[ ) ( [510/8, 512/8[ )
( [653, 685[ [100, 100[ ) ( [512/8, 514/8[ )
