scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Vexilla,Clarinet,page2,2,bar6,6,3,4,90,4,18,12006,667,12673,37,2,39,31,68,100,100,1,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,37
Vexilla,Clarinet,page2,2,bar7,7,3,4,90,4,19,12673,667,13340,39,2,41,68,100,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,39
Vexilla,Clarinet,page2,2,bar7,7,3,4,90,4,20,13340,667,14007,41,2,43,100,132,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,41
Vexilla,Clarinet,page2,2,bar7,7,3,4,90,4,21,14007,667,14674,43,2,45,132,169,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,43
Vexilla,Clarinet,page2,2,bar8,8,3,4,90,4,22,14674,667,15341,45,2,47,169,201,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,45
Vexilla,Clarinet,page2,2,bar8,8,3,4,90,4,23,15341,667,16008,47,2,49,201,233,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,47
Vexilla,Clarinet,page2,2,bar8,8,3,4,90,4,24,16008,667,16675,49,2,51,233,270,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,49
Vexilla,Clarinet,page2,2,bar9,9,3,4,90,4,25,16675,667,17342,51,2,53,270,302,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,51
Vexilla,Clarinet,page2,2,bar9,9,3,4,90,4,26,17342,667,18009,53,2,55,302,334,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,53
Vexilla,Clarinet,page2,2,bar9,9,3,4,90,4,27,18009,667,18676,55,2,57,334,371,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,55
Vexilla,Clarinet,page2,2,bar10,10,3,4,90,4,28,18676,667,19343,57,2,59,371,403,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,57
Vexilla,Clarinet,page2,2,bar10,10,3,4,90,4,29,19343,667,20010,59,2,61,403,435,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,59
Vexilla,Clarinet,page2,2,bar10,10,3,4,90,4,30,20010,667,20677,61,2,63,435,472,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,61
Vexilla,Clarinet,page2,2,bar11,11,3,4,90,4,31,20677,667,21344,63,2,65,472,504,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,63
Vexilla,Clarinet,page2,2,bar11,11,3,4,90,4,32,21344,667,22011,65,2,67,504,536,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,65
Vexilla,Clarinet,page2,2,bar11,11,3,4,90,4,33,22011,667,22678,67,2,69,536,573,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,67
Vexilla,Clarinet,page2,2,bar12,12,3,4,90,4,34,22678,667,23345,69,2,71,573,605,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,69
Vexilla,Clarinet,page2,2,bar12,12,3,4,90,4,35,23345,667,24012,71,2,73,605,637,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,71
Vexilla,Clarinet,page2,2,bar12,12,3,4,90,4,36,24012,667,24679,73,2,75,637,669,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page2,73
