( [31, 68[ [100, 100[ ) ( [1075/8, 1077/8[ )
( [68, 100[ [100, 100[ ) ( [1077/8, 1079/8[ )
( [100, 132[ [100, 100[ ) ( [1079/8, 1081/8[ )
( [132, 164[ [100, 100[ ) ( [1081/8, 1083/8[ )
( [164, 201[ [100, 100[ ) ( [1083/8, 1085/8[ )
( [201, 233[ [100, 100[ ) ( [1085/8, 1087/8[ )
( [233, 265[ [100, 100[ ) ( [1087/8, 1089/8[ )
( [265, 297[ [100, 100[ ) ( [1089/8, 1091/8[ )
( [297, 334[ [100, 100[ ) ( [1091/8, 1093/8[ )
( [334, 366[ [100, 100[ ) ( [1093/8, 1095/8[ )
( [366, 398[ [100, 100[ ) ( [1095/8, 1097/8[ )
( [398, 430[ [100, 100[ ) ( [1097/8, 1099/8[ )
( [430, 467[ [100, 100[ ) ( [1099/8, 1101/8[ )
( [467, 499[ [100, 100[ ) ( [1101/8, 1103/8[ )
( [499, 531[ [100, 100[ ) ( [1103/8, 1105/8[ )
( [531, 563[ [100, 100[ ) ( [1105/8, 1107/8[ )
( [563, 600[ [100, 100[ ) ( [1107/8, 1109/8[ )
( [600, 632[ [100, 100[ ) ( [1109/8, 1111/8[ )
( [632, 664[ [100, 100[ ) ( [1111/8, 1113/8[ )
( [664, 696[ [100, 100[ ) ( [1113/8, 1115/8[ )
( [696, 728[ [100, 100[ ) ( [1115/8, 1117/8[ )
