( [31, 68[ [100, 100[ ) ( [921/8, 923/8[ )
( [68, 116[ [100, 100[ ) ( [923/8, 926/8[ )
( [116, 148[ [100, 100[ ) ( [926/8, 928/8[ )
( [148, 185[ [100, 100[ ) ( [928/8, 930/8[ )
( [185, 217[ [100, 100[ ) ( [930/8, 932/8[ )
( [217, 254[ [100, 100[ ) ( [932/8, 934/8[ )
( [254, 286[ [100, 100[ ) ( [934/8, 936/8[ )
( [286, 318[ [100, 100[ ) ( [936/8, 938/8[ )
( [318, 355[ [100, 100[ ) ( [938/8, 940/8[ )
( [355, 387[ [100, 100[ ) ( [940/8, 942/8[ )
( [387, 419[ [100, 100[ ) ( [942/8, 944/8[ )
( [419, 451[ [100, 100[ ) ( [944/8, 946/8[ )
( [451, 488[ [100, 100[ ) ( [946/8, 948/8[ )
( [488, 536[ [100, 100[ ) ( [948/8, 951/8[ )
( [536, 568[ [100, 100[ ) ( [951/8, 953/8[ )
( [568, 605[ [100, 100[ ) ( [953/8, 955/8[ )
( [605, 637[ [100, 100[ ) ( [955/8, 957/8[ )
( [637, 669[ [100, 100[ ) ( [957/8, 959/8[ )
