scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Vexilla,Violin,page6,6,bar27,27,4,4,90,4,93,62031,667,62698,187,2,189,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,187
Vexilla,Violin,page6,6,bar28,28,4,4,90,4,94,62698,667,63365,189,2,191,69,101,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,189
Vexilla,Violin,page6,6,bar28,28,4,4,90,4,95,63365,667,64032,191,2,193,101,133,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,191
Vexilla,Violin,page6,6,bar28,28,4,4,90,4,96,64032,667,64699,193,2,195,133,165,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,193
Vexilla,Violin,page6,6,bar28,28,4,4,90,4,97,64699,667,65366,195,2,197,165,202,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,195
Vexilla,Violin,page6,6,bar29,29,4,4,90,4,98,65366,667,66033,197,2,199,202,234,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,197
Vexilla,Violin,page6,6,bar29,29,4,4,90,4,99,66033,667,66700,199,2,201,234,266,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,199
Vexilla,Violin,page6,6,bar29,29,4,4,90,4,100,66700,667,67367,201,2,203,266,298,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,201
Vexilla,Violin,page6,6,bar29,29,4,4,90,4,101,67367,667,68034,203,2,205,298,335,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,203
Vexilla,Violin,page6,6,bar30,30,5,4,90,4,102,68034,667,68701,205,2,207,335,367,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,205
Vexilla,Violin,page6,6,bar30,30,5,4,90,4,103,68701,667,69368,207,2,209,367,399,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,207
Vexilla,Violin,page6,6,bar30,30,5,4,90,4,104,69368,667,70035,209,2,211,399,431,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,209
Vexilla,Violin,page6,6,bar30,30,5,4,90,4,105,70035,667,70702,211,2,213,431,463,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,211
Vexilla,Violin,page6,6,bar30,30,5,4,90,4,106,70702,667,71369,213,2,215,463,500,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,213
Vexilla,Violin,page6,6,bar31,31,2,4,90,4,107,71369,667,72036,215,2,217,500,532,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,215
Vexilla,Violin,page6,6,bar31,31,2,4,90,4,108,72036,667,72703,217,2,219,532,569,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,217
Vexilla,Violin,page6,6,bar32,32,2,4,90,4,109,72703,667,73370,219,2,221,569,601,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,219
Vexilla,Violin,page6,6,bar32,32,2,4,90,4,110,73370,667,74037,221,2,223,601,638,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,221
Vexilla,Violin,page6,6,bar33,33,2,4,90,4,111,74037,667,74704,223,2,225,638,670,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,223
Vexilla,Violin,page6,6,bar33,33,2,4,90,4,112,74704,667,75371,225,2,227,670,702,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page6,225
