( [32, 69[ [100, 100[ ) ( [81/8, 83/8[ )
( [69, 101[ [100, 100[ ) ( [83/8, 85/8[ )
( [101, 133[ [100, 100[ ) ( [85/8, 87/8[ )
( [133, 165[ [100, 100[ ) ( [87/8, 89/8[ )
( [165, 197[ [100, 100[ ) ( [89/8, 91/8[ )
( [197, 234[ [100, 100[ ) ( [91/8, 93/8[ )
( [234, 266[ [100, 100[ ) ( [93/8, 95/8[ )
( [266, 298[ [100, 100[ ) ( [95/8, 97/8[ )
( [298, 330[ [100, 100[ ) ( [97/8, 99/8[ )
( [330, 362[ [100, 100[ ) ( [99/8, 101/8[ )
( [362, 399[ [100, 100[ ) ( [101/8, 103/8[ )
( [399, 431[ [100, 100[ ) ( [103/8, 105/8[ )
( [431, 463[ [100, 100[ ) ( [105/8, 107/8[ )
( [463, 495[ [100, 100[ ) ( [107/8, 109/8[ )
( [495, 527[ [100, 100[ ) ( [109/8, 111/8[ )
( [527, 564[ [100, 100[ ) ( [111/8, 113/8[ )
( [564, 596[ [100, 100[ ) ( [113/8, 115/8[ )
( [596, 628[ [100, 100[ ) ( [115/8, 117/8[ )
( [628, 660[ [100, 100[ ) ( [117/8, 119/8[ )
( [660, 692[ [100, 100[ ) ( [119/8, 121/8[ )
( [692, 724[ [100, 100[ ) ( [121/8, 123/8[ )
