( [32, 69[ [100, 100[ ) ( [281/8, 283/8[ )
( [69, 101[ [100, 100[ ) ( [283/8, 285/8[ )
( [101, 133[ [100, 100[ ) ( [285/8, 287/8[ )
( [133, 165[ [100, 100[ ) ( [287/8, 289/8[ )
( [165, 202[ [100, 100[ ) ( [289/8, 291/8[ )
( [202, 234[ [100, 100[ ) ( [291/8, 293/8[ )
( [234, 266[ [100, 100[ ) ( [293/8, 295/8[ )
( [266, 298[ [100, 100[ ) ( [295/8, 297/8[ )
( [298, 335[ [100, 100[ ) ( [297/8, 299/8[ )
( [335, 367[ [100, 100[ ) ( [299/8, 301/8[ )
( [367, 399[ [100, 100[ ) ( [301/8, 303/8[ )
( [399, 431[ [100, 100[ ) ( [303/8, 305/8[ )
( [431, 468[ [100, 100[ ) ( [305/8, 307/8[ )
( [468, 500[ [100, 100[ ) ( [307/8, 309/8[ )
( [500, 532[ [100, 100[ ) ( [309/8, 311/8[ )
( [532, 564[ [100, 100[ ) ( [311/8, 313/8[ )
( [564, 601[ [100, 100[ ) ( [313/8, 315/8[ )
( [601, 633[ [100, 100[ ) ( [315/8, 317/8[ )
( [633, 665[ [100, 100[ ) ( [317/8, 319/8[ )
( [665, 697[ [100, 100[ ) ( [319/8, 321/8[ )
( [697, 729[ [100, 100[ ) ( [321/8, 323/8[ )
