( [32, 69[ [100, 100[ ) ( [433/8, 435/8[ )
( [69, 101[ [100, 100[ ) ( [435/8, 437/8[ )
( [101, 133[ [100, 100[ ) ( [437/8, 439/8[ )
( [133, 170[ [100, 100[ ) ( [439/8, 441/8[ )
( [170, 202[ [100, 100[ ) ( [441/8, 443/8[ )
( [202, 234[ [100, 100[ ) ( [443/8, 445/8[ )
( [234, 271[ [100, 100[ ) ( [445/8, 447/8[ )
( [271, 303[ [100, 100[ ) ( [447/8, 449/8[ )
( [303, 335[ [100, 100[ ) ( [449/8, 451/8[ )
( [335, 372[ [100, 100[ ) ( [451/8, 453/8[ )
( [372, 404[ [100, 100[ ) ( [453/8, 455/8[ )
( [404, 436[ [100, 100[ ) ( [455/8, 457/8[ )
( [436, 473[ [100, 100[ ) ( [457/8, 459/8[ )
( [473, 505[ [100, 100[ ) ( [459/8, 461/8[ )
( [505, 537[ [100, 100[ ) ( [461/8, 463/8[ )
( [537, 574[ [100, 100[ ) ( [463/8, 465/8[ )
( [574, 606[ [100, 100[ ) ( [465/8, 467/8[ )
( [606, 638[ [100, 100[ ) ( [467/8, 469/8[ )
( [638, 670[ [100, 100[ ) ( [469/8, 471/8[ )
