scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,Piano,page3,3,bar8,8,5,4,100,4,40,24000,600,24600,81,2,83,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,81
Ukodus,Piano,page3,3,bar9,9,5,4,100,4,41,24600,600,25200,83,2,85,69,101,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,83
Ukodus,Piano,page3,3,bar9,9,5,4,100,4,42,25200,600,25800,85,2,87,101,133,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,85
Ukodus,Piano,page3,3,bar9,9,5,4,100,4,43,25800,600,26400,87,2,89,133,165,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,87
Ukodus,Piano,page3,3,bar9,9,5,4,100,4,44,26400,600,27000,89,2,91,165,197,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,89
Ukodus,Piano,page3,3,bar9,9,5,4,100,4,45,27000,600,27600,91,2,93,197,234,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,91
Ukodus,Piano,page3,3,bar10,10,5,4,100,4,46,27600,600,28200,93,2,95,234,266,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,93
Ukodus,Piano,page3,3,bar10,10,5,4,100,4,47,28200,600,28800,95,2,97,266,298,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,95
Ukodus,Piano,page3,3,bar10,10,5,4,100,4,48,28800,600,29400,97,2,99,298,330,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,97
Ukodus,Piano,page3,3,bar10,10,5,4,100,4,49,29400,600,30000,99,2,101,330,362,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,99
Ukodus,Piano,page3,3,bar10,10,5,4,100,4,50,30000,600,30600,101,2,103,362,399,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,101
Ukodus,Piano,page3,3,bar11,11,5,4,100,4,51,30600,600,31200,103,2,105,399,431,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,103
Ukodus,Piano,page3,3,bar11,11,5,4,100,4,52,31200,600,31800,105,2,107,431,463,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,105
Ukodus,Piano,page3,3,bar11,11,5,4,100,4,53,31800,600,32400,107,2,109,463,495,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,107
Ukodus,Piano,page3,3,bar11,11,5,4,100,4,54,32400,600,33000,109,2,111,495,527,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,109
Ukodus,Piano,page3,3,bar11,11,5,4,100,4,55,33000,600,33600,111,2,113,527,564,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,111
Ukodus,Piano,page3,3,bar12,12,5,4,100,4,56,33600,600,34200,113,2,115,564,596,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,113
Ukodus,Piano,page3,3,bar12,12,5,4,100,4,57,34200,600,34800,115,2,117,596,628,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,115
Ukodus,Piano,page3,3,bar12,12,5,4,100,4,58,34800,600,35400,117,2,119,628,660,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,117
Ukodus,Piano,page3,3,bar12,12,5,4,100,4,59,35400,600,36000,119,2,121,660,692,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,119
Ukodus,Piano,page3,3,bar12,12,5,4,100,4,60,36000,600,36600,121,2,123,692,724,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page3,121
